Protocol,Type
Countable,AnyBidirectionalCollection
Countable,AnyCollection
Countable,AnyRandomAccessCollection
Countable,Array
Countable,ArraySlice
Countable,CollectionOfOne
Countable,ContiguousArray
Countable,DefaultIndices
Countable,Dictionary
Countable,EmptyCollection
Countable,Repeated
Countable,ReversedCollection
Countable,Set
Countable,Slice
Countable,String
Countable,String.UnicodeScalarView
Countable,String.UTF16View
Countable,String.UTF8View
Countable,Substring
Countable,Substring.UnicodeScalarView
Countable,Substring.UTF16View
Countable,Substring.UTF8View
Countable,UnsafeBufferPointer
Countable,UnsafeMutableBufferPointer
Countable,UnsafeMutableRawBufferPointer
Countable,UnsafeRawBufferPointer
